Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
good,12,parents,36,30,single,no,fixed,35,59,0,0,600,1206
good,7,owner,36,31,married,no,fixed,45,180,9000,1600,700,1400
good,7,rent,24,32,single,no,freelance,67,320,0,0,2000,3400
good,2,owner,60,38,married,no,fixed,60,88,3500,500,1100,1263
bad,15,rent,60,39,married,no,fixed,90,150,0,0,1450,1450
good,40,owner,24,60,married,no,freelance,45,80,7500,0,325,1365
good,2,rent,60,26,married,no,partime,85,97,6000,0,1070,1172
bad,3,priv,30,22,single,no,freelance,60,NA,5000,0,1200,1426
bad,1,other,48,32,married,no,fixed,60,69,0,0,2000,2580
good,40,owner,24,63,married,no,fixed,45,250,55000,0,1000,1751
good,1,owner,12,27,married,no,fixed,45,70,6000,5700,600,1628
bad,2,parents,48,20,single,no,fixed,35,136,0,0,900,1022
good,15,owner,36,47,married,no,fixed,75,230,13000,1400,1400,1568
good,15,parents,18,30,married,no,fixed,45,260,8000,1500,500,2071
good,13,parents,48,31,married,no,fixed,75,80,0,0,1000,1575
good,12,owner,36,56,married,no,fixed,75,205,5500,1950,275,300
bad,3,priv,60,32,married,yes,fixed,60,200,4500,2000,1600,1759
good,19,owner,36,37,married,no,fixed,75,170,2500,0,950,1339
good,30,owner,36,56,married,no,fixed,60,150,2000,0,400,450
good,15,owner,60,33,married,no,fixed,90,144,3000,200,960,960
good,12,parents,48,38,separated,no,fixed,35,154,0,0,1300,2094
good,2,owner,24,20,single,no,fixed,45,176,5000,0,700,1299
good,1,rent,60,35,married,no,partime,83,76,10000,0,1000,1350
bad,1,owner,60,46,married,no,fixed,75,50,2000,0,750,1302
good,1,rent,48,34,single,no,fixed,45,98,6000,800,900,980
good,13,rent,60,36,married,no,fixed,84,92,0,0,1200,1271
good,12,owner,60,50,married,no,fixed,60,100,8000,0,1050,1657
bad,0,other,60,42,married,yes,fixed,165,NA,0,0,1300,1750
good,0,parents,36,32,single,no,fixed,35,119,3000,0,1000,1345
good,7,owner,36,33,married,no,fixed,45,208,4000,0,500,1288
bad,14,rent,36,43,married,yes,fixed,96,212,0,0,600,750
good,1,owner,12,28,married,no,partime,45,130,18000,2500,400,2575
good,3,parents,60,25,single,no,fixed,35,174,0,0,1000,1252
good,10,rent,36,31,married,no,fixed,61,164,5000,0,1000,1440
good,11,owner,60,33,widow,no,fixed,45,90,8000,0,850,1105
bad,7,parents,60,24,single,no,fixed,35,92,0,0,1618,1618
good,0,parents,60,25,married,no,others,45,209,2000,0,900,1436
bad,0,owner,60,23,married,no,fixed,45,120,4000,1000,1200,1476
bad,0,owner,60,39,married,yes,freelance,45,80,6000,0,1100,1131
good,14,owner,60,41,married,no,fixed,75,183,4000,1100,1500,2730
good,26,rent,60,50,married,no,fixed,85,250,0,0,1000,1297
good,4,owner,60,41,married,no,fixed,45,87,6500,0,1100,1670
bad,2,priv,36,32,married,no,fixed,75,80,2500,0,1300,1813
good,25,rent,60,48,married,no,fixed,103,126,3500,0,1450,1575
good,2,owner,12,32,married,no,freelance,45,122,5000,500,350,625
bad,0,parents,36,29,separated,no,freelance,35,NA,0,0,650,975
good,15,owner,36,42,single,no,fixed,35,90,5000,3000,1000,1243
good,4,owner,36,54,married,no,freelance,35,80,25000,0,1400,1490
bad,0,other,60,32,single,no,partime,35,NA,0,0,600,1690
good,8,owner,24,32,married,no,fixed,60,77,4000,0,350,865
good,2,rent,60,53,widow,no,fixed,46,114,0,0,1050,1348
good,11,owner,60,28,married,no,fixed,35,82,1500,0,1090,1491
good,3,owner,60,41,married,no,fixed,75,99,16000,500,1000,3300
good,28,owner,48,54,married,no,freelance,75,46,15000,0,900,1300
good,11,owner,48,41,married,yes,freelance,45,280,4000,1300,1000,1350
bad,0,rent,24,42,married,yes,fixed,103,283,0,0,1897,2517
good,32,owner,36,49,married,no,fixed,75,163,4000,0,400,700
good,3,priv,36,37,married,no,freelance,45,NA,4500,0,900,1596
good,5,owner,48,46,married,no,fixed,90,137,2000,0,1100,1487
good,4,other,60,37,married,yes,freelance,60,61,0,0,1420,1450
good,43,other,24,60,married,no,fixed,60,185,0,0,319,1669
good,8,priv,48,25,single,no,fixed,45,180,1500,0,1100,1200
bad,2,owner,48,41,married,no,fixed,60,142,4000,0,2000,2465
good,21,owner,36,37,married,no,fixed,75,300,7000,3500,1100,1876
good,18,other,36,42,single,no,fixed,35,83,0,0,700,1380
good,2,parents,60,24,single,no,fixed,35,67,0,0,316,1080
bad,1,owner,60,40,married,no,freelance,35,349,6000,4000,1300,1511
good,20,owner,24,51,married,no,fixed,45,185,10000,0,600,750
good,10,owner,60,39,married,no,freelance,45,95,3000,0,1000,1058
good,6,owner,36,47,married,no,freelance,60,35,10000,0,1200,1974
bad,16,parents,60,35,separated,no,fixed,35,105,0,0,800,1084
good,1,parents,18,23,single,no,partime,35,50,0,0,250,1139
good,11,parents,30,27,single,no,fixed,35,117,0,0,600,1293
good,1,owner,12,61,married,no,others,35,58,18000,0,500,1342
good,4,owner,48,29,married,no,fixed,45,160,3500,0,1000,1226
good,18,owner,36,34,married,no,fixed,60,130,6000,0,650,1601
bad,5,rent,36,28,married,no,freelance,60,NA,0,0,900,1200
bad,2,other,60,22,single,no,fixed,35,58,12000,0,1450,1600
good,7,owner,6,52,married,yes,freelance,60,NA,9000,0,550,2136
good,1,parents,60,22,single,no,fixed,35,110,2000,0,1500,2098
bad,3,rent,36,61,married,no,fixed,41,57,12000,0,2500,3559
good,30,priv,36,66,single,no,fixed,35,111,3500,0,800,1251
good,0,parents,36,25,single,no,fixed,35,440,0,0,550,1546
good,18,owner,60,39,married,no,fixed,60,130,3500,0,1400,1471
good,14,owner,60,29,married,no,fixed,35,143,5000,0,1400,1668
bad,1,other,36,40,married,yes,fixed,75,150,0,0,800,800
good,13,owner,24,37,single,no,fixed,35,100,3000,0,800,1494
bad,15,owner,60,31,married,yes,fixed,45,96,4000,0,960,1031
good,20,rent,48,44,widow,yes,freelance,43,77,0,0,550,1499
good,3,owner,48,42,married,no,fixed,45,150,20000,3000,1500,2163
good,22,owner,48,48,married,no,freelance,75,642,37000,0,1000,1484
bad,5,rent,60,29,married,no,fixed,56,105,0,0,1350,1396
good,1,parents,60,20,single,no,fixed,35,65,0,0,1000,1479
bad,4,rent,36,34,married,no,fixed,73,126,0,0,1000,1250
good,24,owner,18,38,married,yes,fixed,45,NA,7000,90,300,400
good,15,owner,24,29,married,no,fixed,45,130,4000,0,400,899
good,12,owner,60,27,married,no,fixed,35,167,4000,0,1000,1537
good,30,rent,24,53,married,no,freelance,69,240,25000,0,1000,2200
good,2,owner,36,30,married,no,freelance,35,NA,4000,0,1100,1850
good,6,priv,60,45,married,no,fixed,60,169,2500,300,1250,1565
good,4,parents,24,40,single,no,fixed,35,150,5500,600,500,1672
good,5,priv,36,32,married,no,fixed,75,101,40000,0,1400,1444
bad,4,rent,60,34,single,no,fixed,43,80,0,0,1500,2218
bad,2,owner,36,21,single,yes,freelance,35,25,13000,4000,1000,1200
good,9,rent,48,32,married,yes,fixed,87,270,0,0,1000,1640
good,7,owner,12,45,widow,yes,freelance,75,200,15000,0,600,1130
good,35,rent,60,52,married,no,fixed,83,384,3000,3000,900,1633
bad,16,owner,60,44,married,no,fixed,35,150,2500,400,2000,2190
bad,10,NA,18,47,married,yes,freelance,45,NA,NA,NA,700,1428
good,20,owner,36,49,married,no,freelance,60,NA,44000,0,2220,2220
bad,2,rent,60,40,single,yes,fixed,104,138,5000,300,1700,1879
good,2,other,60,23,married,no,freelance,35,140,0,0,1400,1581
good,0,owner,60,27,single,no,fixed,35,87,15000,0,1000,1034
good,30,owner,48,53,married,no,freelance,45,NA,38000,0,1600,2120
good,15,owner,60,48,married,no,fixed,45,105,3000,0,250,1092
good,10,other,60,50,single,no,fixed,35,147,0,0,1080,1152
bad,4,rent,36,24,married,no,partime,55,100,0,0,650,725
good,4,owner,24,49,married,no,fixed,45,132,15000,0,850,1338
good,14,parents,36,30,married,no,fixed,35,172,0,0,1100,1505
good,2,rent,60,28,single,no,fixed,47,115,0,0,1000,1015
good,4,rent,48,33,married,no,fixed,58,133,0,0,1500,1784
good,5,rent,48,26,separated,no,fixed,53,178,0,0,1200,2279
bad,2,priv,24,41,married,yes,freelance,90,19,5000,0,800,1900
good,5,rent,24,36,married,no,fixed,70,100,0,0,700,2995
good,20,owner,30,55,married,no,freelance,75,NA,25000,0,1100,1930
good,1,rent,60,23,married,yes,fixed,54,92,0,0,1450,1626
bad,1,parents,60,38,married,no,partime,60,92,3500,0,1000,1025
bad,10,owner,48,63,married,yes,freelance,35,NA,3000,0,4000,4769
bad,5,rent,36,32,married,yes,freelance,64,42,15000,0,1300,1450
bad,4,rent,48,43,married,yes,freelance,45,NA,10000,0,1200,1518
bad,1,rent,36,39,separated,yes,others,52,65,0,0,500,700
good,15,owner,12,46,separated,no,freelance,35,85,15000,0,1000,1862
bad,14,owner,36,31,married,no,freelance,60,NA,NA,NA,700,1100
good,20,parents,36,39,married,no,freelance,60,346,35000,0,1900,2440
bad,1,rent,36,46,married,no,partime,82,72,0,0,850,1418
good,1,parents,48,24,single,no,fixed,35,75,0,0,1050,1429
good,2,owner,36,53,married,no,freelance,35,71,5000,0,800,1615
good,2,owner,60,36,married,no,fixed,60,190,4500,1200,1575,1611
good,13,owner,60,45,married,no,fixed,75,475,5000,0,1300,2300
bad,8,rent,60,34,married,yes,fixed,80,200,0,0,1200,1800
bad,1,parents,60,23,single,no,fixed,35,100,0,0,1600,1642
good,0,rent,60,25,married,no,partime,41,64,0,0,1450,1537
bad,4,rent,60,34,married,yes,fixed,100,247,0,0,1700,2278
good,12,parents,24,28,single,no,fixed,35,102,4000,0,250,1150
bad,2,parents,48,25,married,no,fixed,35,48,6500,0,900,912
good,3,rent,60,48,married,no,others,77,24,0,0,1700,1803
good,2,parents,60,31,married,no,fixed,35,175,NA,0,700,1350
bad,10,owner,60,26,married,no,fixed,35,73,4000,2000,1700,1900
good,2,owner,60,23,single,no,fixed,45,75,7000,0,1070,1209
bad,1,parents,36,24,single,yes,partime,35,50,0,0,1750,1850
bad,10,rent,24,39,single,yes,others,55,195,0,0,400,435
bad,1,rent,36,44,married,yes,fixed,54,90,0,0,1500,2100
bad,1,parents,36,22,single,no,partime,35,59,0,0,880,940
good,20,owner,24,54,married,no,fixed,35,175,11500,0,500,1080
good,0,rent,60,30,married,no,fixed,70,100,2000,0,1150,1265
good,0,owner,60,32,married,no,freelance,60,NA,5500,700,1300,1375
good,5,owner,36,27,married,no,freelance,45,NA,0,0,1000,1622
good,6,priv,60,34,married,no,fixed,45,124,1500,100,1100,1392
good,13,owner,60,41,married,no,fixed,75,89,2000,0,1000,1274
good,15,owner,60,38,married,no,fixed,60,90,6000,480,1100,1289
bad,2,rent,60,32,married,yes,freelance,60,NA,0,0,1100,1480
good,4,parents,60,24,married,no,fixed,35,130,0,0,800,897
good,15,owner,60,34,married,no,fixed,45,82,3500,0,750,1624
good,15,owner,48,29,married,yes,fixed,35,100,8500,1300,500,873
bad,6,rent,48,37,single,no,fixed,55,200,0,0,1450,1650
good,15,rent,48,45,married,no,fixed,88,130,3000,0,1300,1591
good,15,other,36,39,separated,no,fixed,45,116,4000,0,600,1196
bad,0,parents,12,23,single,no,partime,35,37,2500,0,120,300
good,1,owner,48,35,married,no,freelance,90,174,11900,0,900,1220
good,3,rent,36,23,single,no,fixed,59,244,3100,0,700,1199
bad,0,owner,60,33,separated,no,partime,35,78,0,0,1030,1197
good,23,owner,36,41,married,no,fixed,60,169,37000,180,1000,1457
good,20,rent,60,54,married,no,fixed,43,75,0,0,800,1263
good,10,rent,30,51,married,no,fixed,60,150,0,0,1300,1378
good,13,owner,48,45,married,no,fixed,45,106,4000,0,400,1615
bad,7,priv,60,36,married,yes,fixed,60,300,7000,0,2000,2485
good,23,owner,24,47,married,no,fixed,35,114,3000,0,400,765
good,7,rent,36,49,married,no,fixed,57,115,0,0,675,675
good,3,owner,12,24,single,yes,fixed,35,105,6000,0,500,1138
good,3,owner,24,43,married,no,freelance,75,NA,3000,0,650,1548
bad,1,parents,48,18,single,no,partime,45,95,4000,0,600,1472
good,1,owner,18,38,married,no,others,35,NA,4000,0,480,1059
good,27,owner,18,48,married,no,freelance,35,70,5000,0,800,1578
good,3,rent,36,30,married,yes,freelance,59,140,0,0,1300,2115
good,10,other,60,48,married,no,fixed,35,203,4000,1500,1520,1636
good,4,parents,60,25,married,no,freelance,35,95,25000,0,1650,1900
good,1,priv,60,27,married,no,freelance,35,130,4650,2850,2000,2240
good,0,parents,48,28,single,no,freelance,35,100,0,0,900,1400
good,16,parents,24,44,single,no,freelance,35,86,0,0,700,950
bad,2,other,48,25,married,no,fixed,35,129,0,0,1580,1925
good,1,owner,24,38,married,no,fixed,60,102,3500,0,850,1260
good,19,owner,60,54,widow,yes,fixed,35,207,11000,4000,800,1336
good,1,owner,24,39,married,no,others,35,70,4000,0,525,1771
good,5,parents,24,31,single,no,fixed,35,130,0,0,200,1447
good,1,owner,60,28,married,no,fixed,45,60,4000,0,1500,2326
good,15,owner,60,43,married,no,freelance,60,310,7000,0,1200,1297
good,14,owner,60,40,married,no,fixed,60,110,5000,0,1000,1646
good,8,owner,24,36,married,no,fixed,60,90,6000,1500,900,1715
good,21,owner,60,40,married,yes,fixed,60,144,6500,0,2000,2230
bad,0,rent,60,38,married,no,freelance,35,NA,0,0,1300,1636
good,3,parents,48,24,single,no,fixed,35,55,3000,0,850,875
good,6,rent,60,34,married,no,fixed,86,110,0,0,800,2263
good,20,owner,60,39,married,no,fixed,60,68,13000,0,900,975
good,8,owner,60,33,married,no,fixed,45,160,2000,0,1050,2277
bad,2,rent,18,46,married,yes,fixed,74,140,0,0,200,380
good,14,owner,60,28,married,no,fixed,35,216,4000,0,1750,2270
good,3,owner,48,29,married,no,fixed,35,83,4500,1170,700,837
